,Unnamed: 0,path,img,label_text,label
12,12,../input/plantvillage-dataset/color/Tomato___Late_blight/24364b4f-3f9f-4166-860d-34a938d3d630___RS_Late.B 4986.JPG,24364b4f-3f9f-4166-860d-34a938d3d630___RS_Late.B 4986.JPG,Tomato___Late_blight,2
13,13,../input/plantvillage-dataset/color/Tomato___Late_blight/d2ef0edd-4a4f-4245-85a8-34309ef9ef71___GHLB_PS Leaf 46.1 Day 18.jpg,d2ef0edd-4a4f-4245-85a8-34309ef9ef71___GHLB_PS Leaf 46.1 Day 18.jpg,Tomato___Late_blight,2
14,14,../input/plantvillage-dataset/color/Tomato___Late_blight/766771e1-8e8e-4ce4-9af6-b4ed91c9e80a___RS_Late.B 6881.JPG,766771e1-8e8e-4ce4-9af6-b4ed91c9e80a___RS_Late.B 6881.JPG,Tomato___Late_blight,2
18140,18140,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/7513d5a2-ba48-4e0a-9d45-a6a37b645431___Com.G_SpM_FL 9387.JPG,7513d5a2-ba48-4e0a-9d45-a6a37b645431___Com.G_SpM_FL 9387.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18141,18141,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/f2d3fadc-0142-4425-b731-6d95464a211d___Com.G_SpM_FL 8612.JPG,f2d3fadc-0142-4425-b731-6d95464a211d___Com.G_SpM_FL 8612.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18142,18142,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/639ad6fc-8e42-4a84-ac80-a40d9661bbae___Com.G_SpM_FL 8466.JPG,639ad6fc-8e42-4a84-ac80-a40d9661bbae___Com.G_SpM_FL 8466.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18143,18143,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/8f2eedcb-2e42-4d92-8492-a45c1fb06991___Com.G_SpM_FL 8525.JPG,8f2eedcb-2e42-4d92-8492-a45c1fb06991___Com.G_SpM_FL 8525.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18144,18144,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/03dc4d71-45b6-4845-9f66-3b7aae5375e1___Com.G_SpM_FL 1193.JPG,03dc4d71-45b6-4845-9f66-3b7aae5375e1___Com.G_SpM_FL 1193.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18145,18145,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/6eb5d1ea-faf3-4a41-8419-89158aef70a5___Com.G_SpM_FL 9432.JPG,6eb5d1ea-faf3-4a41-8419-89158aef70a5___Com.G_SpM_FL 9432.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18146,18146,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/e90ba377-d69d-47ef-808c-c6ba488da79f___Com.G_SpM_FL 8958.JPG,e90ba377-d69d-47ef-808c-c6ba488da79f___Com.G_SpM_FL 8958.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18147,18147,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/a9614208-7dc8-46c3-98de-d0af5dcf3117___Com.G_SpM_FL 8910.JPG,a9614208-7dc8-46c3-98de-d0af5dcf3117___Com.G_SpM_FL 8910.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18148,18148,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/20dcc445-3179-4092-8083-0c55be8e9579___Com.G_SpM_FL 1698.JPG,20dcc445-3179-4092-8083-0c55be8e9579___Com.G_SpM_FL 1698.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18149,18149,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/0cc75e2e-9e6f-4b8e-b564-3840c9ecff58___Com.G_SpM_FL 1442.JPG,0cc75e2e-9e6f-4b8e-b564-3840c9ecff58___Com.G_SpM_FL 1442.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18150,18150,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/631b49b5-5e69-4428-a583-e623abb1d311___Com.G_SpM_FL 1647.JPG,631b49b5-5e69-4428-a583-e623abb1d311___Com.G_SpM_FL 1647.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18151,18151,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/b922a594-89b4-417f-ba52-b38eda920525___Com.G_SpM_FL 1398.JPG,b922a594-89b4-417f-ba52-b38eda920525___Com.G_SpM_FL 1398.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18152,18152,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/989cea27-2233-441c-b2cc-f5166e3582f1___Com.G_SpM_FL 8846.JPG,989cea27-2233-441c-b2cc-f5166e3582f1___Com.G_SpM_FL 8846.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18153,18153,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/58e1f4fa-eb41-4224-a915-fa5fc4cafd7c___Com.G_SpM_FL 1207.JPG,58e1f4fa-eb41-4224-a915-fa5fc4cafd7c___Com.G_SpM_FL 1207.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18154,18154,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/c2da4a64-db25-4881-85ef-9b6885e00fb2___Com.G_SpM_FL 9616.JPG,c2da4a64-db25-4881-85ef-9b6885e00fb2___Com.G_SpM_FL 9616.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18155,18155,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/0e20026b-8b12-4c86-bd41-3e10ea0fae44___Com.G_SpM_FL 1668.JPG,0e20026b-8b12-4c86-bd41-3e10ea0fae44___Com.G_SpM_FL 1668.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18156,18156,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/85247ca8-8c30-4c83-9315-0755cd4be8c2___Com.G_SpM_FL 9503.JPG,85247ca8-8c30-4c83-9315-0755cd4be8c2___Com.G_SpM_FL 9503.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18157,18157,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/6f12dc84-08a1-4e68-8265-1974061ba939___Com.G_SpM_FL 8430.JPG,6f12dc84-08a1-4e68-8265-1974061ba939___Com.G_SpM_FL 8430.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18158,18158,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/c71a53bd-045e-48a2-a7a3-2032688619af___Com.G_SpM_FL 1549.JPG,c71a53bd-045e-48a2-a7a3-2032688619af___Com.G_SpM_FL 1549.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
18159,18159,../input/plantvillage-dataset/color/Tomato___Spider_mites Two-spotted_spider_mite/bda626c4-8c66-439e-8106-73b716c238dc___Com.G_SpM_FL 9494.JPG,bda626c4-8c66-439e-8106-73b716c238dc___Com.G_SpM_FL 9494.JPG,Tomato___Spider_mites Two-spotted_spider_mite,5
